english,hindi,punjabi
we will read machine learning today.,हम मशीन लर्निंग पढ़ूँगा आज।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਂਗਾ ਅੱਜ।
she wrote data science at home.,वह डेटा साइंस लिखा घर पर।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖਿਆ ਘਰ ਵਿੱਚ।
she am studying data science tomorrow.,वह डेटा साइंस पढ़ाई कर रहा हूँ कल।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
he am learning machine learning at home.,वह मशीन लर्निंग सीख रहा हूँ घर पर।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
the student read a project at university.,छात्र एक परियोजना पढ़ा विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they will learn a translation system at university.,वे एक अनुवाद प्रणाली सीखूँगा विश्वविद्यालय में।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student wrote a book tomorrow.,छात्र एक किताब लिखा कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਲਿਖਿਆ ਕੱਲ੍ਹ।
i will build a book quickly.,मैं एक किताब बनाऊँगा जल्दी।,ਮੈਂ ਇੱਕ ਕਿਤਾਬ ਬਣਾਂਗਾ ਜਲਦੀ।
the teacher will write a project at home.,शिक्षक एक परियोजना लिखूँगा घर पर।,ਅਧਿਆਪक ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਾਂਗਾ ਘਰ ਵਿੱਚ।
he will learn data science tomorrow.,वह डेटा साइंस सीखूँगा कल।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖਾਂਗਾ ਕੱਲ੍ਹ।
he am writing data science at university.,वह डेटा साइंस लिख रहा हूँ विश्वविद्यालय में।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend am building a project quickly.,मेरा दोस्त एक परियोजना बना रहा हूँ जल्दी।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਬਣਾ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
she am learning data science carefully.,वह डेटा साइंस सीख रहा हूँ ध्यान से।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
we read data science today.,हम डेटा साइंस पढ़ा आज।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਿਆ ਅੱਜ।
he am writing a book at university.,वह एक किताब लिख रहा हूँ विश्वविद्यालय में।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਲਿਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend will learn machine learning quickly.,मेरा दोस्त मशीन लर्निंग सीखूँगा जल्दी।,ਮੇਰਾ ਦੋਸਤ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖਾਂਗਾ ਜਲਦੀ।
he wrote a translation system quickly.,वह एक अनुवाद प्रणाली लिखा जल्दी।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖਿਆ ਜਲਦੀ।
the teacher will write the lesson at home.,शिक्षक पाठ लिखूँगा घर पर।,ਅਧਿਆਪक ਪਾਠ ਲਿਖਾਂਗਾ ਘਰ ਵਿੱਚ।
i am writing artificial intelligence today.,मैं कृत्रिम बुद्धिमत्ता लिख रहा हूँ आज।,ਮੈਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਅੱਜ।
he studied machine learning quickly.,वह मशीन लर्निंग अध्ययन किया जल्दी।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਅਧਿਐਨ ਕੀਤਾ ਜਲਦੀ।
we am learning artificial intelligence today.,हम कृत्रिम बुद्धिमत्ता सीख रहा हूँ आज।,ਅਸੀਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਅੱਜ।
she read a translation system carefully.,वह एक अनुवाद प्रणाली पढ़ा ध्यान से।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਿਆ ਧਿਆਨ ਨਾਲ।
my friend am reading a project carefully.,मेरा दोस्त एक परियोजना पढ़ रहा हूँ ध्यान से।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
she learned the lesson tomorrow.,वह पाठ सीखा कल।,ਉਹ ਪਾਠ ਸਿੱਖਿਆ ਕੱਲ੍ਹ।
we learned the lesson carefully.,हम पाठ सीखा ध्यान से।,ਅਸੀਂ ਪਾਠ ਸਿੱਖਿਆ ਧਿਆਨ ਨਾਲ।
the student am reading machine learning quickly.,छात्र मशीन लर्निंग पढ़ रहा हूँ जल्दी।,ਵਿਦਿਆਰਥੀ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
he wrote the lesson tomorrow.,वह पाठ लिखा कल।,ਉਹ ਪਾਠ ਲਿਖਿਆ ਕੱਲ੍ਹ।
the teacher am learning a project at home.,शिक्षक एक परियोजना सीख रहा हूँ घर पर।,ਅਧਿਆਪक ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
my friend learned a translation system today.,मेरा दोस्त एक अनुवाद प्रणाली सीखा आज।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਿਆ ਅੱਜ।
they read a project carefully.,वे एक परियोजना पढ़ा ध्यान से।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਿਆ ਧਿਆਨ ਨਾਲ।
they built a translation system tomorrow.,वे एक अनुवाद प्रणाली बनाया कल।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾਇਆ ਕੱਲ੍ਹ।
she am studying a book carefully.,वह एक किताब पढ़ाई कर रहा हूँ ध्यान से।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
she learned machine learning at university.,वह मशीन लर्निंग सीखा विश्वविद्यालय में।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
i am studying a project tomorrow.,मैं एक परियोजना पढ़ाई कर रहा हूँ कल।,ਮੈਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
my friend will read a book tomorrow.,मेरा दोस्त एक किताब पढ़ूँगा कल।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਂਗਾ ਕੱਲ੍ਹ।
i will write the lesson at university.,मैं पाठ लिखूँगा विश्वविद्यालय में।,ਮੈਂ ਪਾਠ ਲਿਖਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student studied the lesson quickly.,छात्र पाठ अध्ययन किया जल्दी।,ਵਿਦਿਆਰਥੀ ਪਾਠ ਅਧਿਐਨ ਕੀਤਾ ਜਲਦੀ।
they learned a translation system carefully.,वे एक अनुवाद प्रणाली सीखा ध्यान से।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਿਆ ਧਿਆਨ ਨਾਲ।
they learned a project at university.,वे एक परियोजना सीखा विश्वविद्यालय में।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they will learn a project today.,वे एक परियोजना सीखूँगा आज।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖਾਂਗਾ ਅੱਜ।
we am studying the lesson tomorrow.,हम पाठ पढ़ाई कर रहा हूँ कल।,ਅਸੀਂ ਪਾਠ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
i am writing the lesson at home.,मैं पाठ लिख रहा हूँ घर पर।,ਮੈਂ ਪਾਠ ਲਿਖ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
they am writing data science today.,वे डेटा साइंस लिख रहा हूँ आज।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਲਿਖ ਰਿਹਾ ਹਾਂ ਅੱਜ।
my friend will build artificial intelligence at university.,मेरा दोस्त कृत्रिम बुद्धिमत्ता बनाऊँगा विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student am building the lesson at home.,छात्र पाठ बना रहा हूँ घर पर।,ਵਿਦਿਆਰਥੀ ਪਾਠ ਬਣਾ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
my friend am learning a translation system at university.,मेरा दोस्त एक अनुवाद प्रणाली सीख रहा हूँ विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
i am writing machine learning at university.,मैं मशीन लर्निंग लिख रहा हूँ विश्वविद्यालय में।,ਮੈਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the teacher am writing a book at university.,शिक्षक एक किताब लिख रहा हूँ विश्वविद्यालय में।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਲਿਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student read a project carefully.,छात्र एक परियोजना पढ़ा ध्यान से।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਿਆ ਧਿਆਨ ਨਾਲ।
i will study data science quickly.,मैं डेटा साइंस अध्ययन करूँगा जल्दी।,ਮੈਂ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕਰਾਂਗਾ ਜਲਦੀ।
the student am studying machine learning at university.,छात्र मशीन लर्निंग पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she studied a book quickly.,वह एक किताब अध्ययन किया जल्दी।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕੀਤਾ ਜਲਦੀ।
the student studied a translation system at home.,छात्र एक अनुवाद प्रणाली अध्ययन किया घर पर।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕੀਤਾ ਘਰ ਵਿੱਚ।
he studied a project at home.,वह एक परियोजना अध्ययन किया घर पर।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਅਧਿਐਨ ਕੀਤਾ ਘਰ ਵਿੱਚ।
she will study data science today.,वह डेटा साइंस अध्ययन करूँगा आज।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕਰਾਂਗਾ ਅੱਜ।
they wrote a project tomorrow.,वे एक परियोजना लिखा कल।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਿਆ ਕੱਲ੍ਹ।
she am learning data science quickly.,वह डेटा साइंस सीख रहा हूँ जल्दी।,ਉਹ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
they will read a project tomorrow.,वे एक परियोजना पढ़ूँगा कल।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਾਂਗਾ ਕੱਲ੍ਹ।
the teacher am reading the lesson quickly.,शिक्षक पाठ पढ़ रहा हूँ जल्दी।,ਅਧਿਆਪक ਪਾਠ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
we built a book quickly.,हम एक किताब बनाया जल्दी।,ਅਸੀਂ ਇੱਕ ਕਿਤਾਬ ਬਣਾਇਆ ਜਲਦੀ।
i learned data science quickly.,मैं डेटा साइंस सीखा जल्दी।,ਮੈਂ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖਿਆ ਜਲਦੀ।
the teacher am writing a translation system quickly.,शिक्षक एक अनुवाद प्रणाली लिख रहा हूँ जल्दी।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
the teacher am writing a translation system today.,शिक्षक एक अनुवाद प्रणाली लिख रहा हूँ आज।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਅੱਜ।
he am writing a translation system today.,वह एक अनुवाद प्रणाली लिख रहा हूँ आज।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਅੱਜ।
they learned a translation system at university.,वे एक अनुवाद प्रणाली सीखा विश्वविद्यालय में।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the teacher studied machine learning today.,शिक्षक मशीन लर्निंग अध्ययन किया आज।,ਅਧਿਆਪक ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਅਧਿਐਨ ਕੀਤਾ ਅੱਜ।
we wrote machine learning at university.,हम मशीन लर्निंग लिखा विश्वविद्यालय में।,ਅਸੀਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਿਆ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend learned a book at home.,मेरा दोस्त एक किताब सीखा घर पर।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਿਆ ਘਰ ਵਿੱਚ।
we am writing a translation system quickly.,हम एक अनुवाद प्रणाली लिख रहा हूँ जल्दी।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
my friend am studying a book at university.,मेरा दोस्त एक किताब पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
my friend studied artificial intelligence carefully.,मेरा दोस्त कृत्रिम बुद्धिमत्ता अध्ययन किया ध्यान से।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਅਧਿਐਨ ਕੀਤਾ ਧਿਆਨ ਨਾਲ।
he am writing artificial intelligence quickly.,वह कृत्रिम बुद्धिमत्ता लिख रहा हूँ जल्दी।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
he am building a translation system today.,वह एक अनुवाद प्रणाली बना रहा हूँ आज।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਅੱਜ।
she am writing artificial intelligence quickly.,वह कृत्रिम बुद्धिमत्ता लिख रहा हूँ जल्दी।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
the student learned machine learning carefully.,छात्र मशीन लर्निंग सीखा ध्यान से।,ਵਿਦਿਆਰਥੀ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਸਿੱਖਿਆ ਧਿਆਨ ਨਾਲ।
i read machine learning tomorrow.,मैं मशीन लर्निंग पढ़ा कल।,ਮੈਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਿਆ ਕੱਲ੍ਹ।
she am reading a project carefully.,वह एक परियोजना पढ़ रहा हूँ ध्यान से।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
she will write machine learning at home.,वह मशीन लर्निंग लिखूँगा घर पर।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਲਿਖਾਂਗਾ ਘਰ ਵਿੱਚ।
they am studying the lesson today.,वे पाठ पढ़ाई कर रहा हूँ आज।,ਉਹ ਪਾਠ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਅੱਜ।
the student studied data science tomorrow.,छात्र डेटा साइंस अध्ययन किया कल।,ਵਿਦਿਆਰਥੀ ਡਾਟਾ ਸਾਇੰਸ ਅਧਿਐਨ ਕੀਤਾ ਕੱਲ੍ਹ।
my friend am reading a project at home.,मेरा दोस्त एक परियोजना पढ़ रहा हूँ घर पर।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
i will learn a book carefully.,मैं एक किताब सीखूँगा ध्यान से।,ਮੈਂ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਾਂਗਾ ਧਿਆਨ ਨਾਲ।
they will write the lesson tomorrow.,वे पाठ लिखूँगा कल।,ਉਹ ਪਾਠ ਲਿਖਾਂਗਾ ਕੱਲ੍ਹ।
the student will read a book tomorrow.,छात्र एक किताब पढ़ूँगा कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਂਗਾ ਕੱਲ੍ਹ।
she will write artificial intelligence tomorrow.,वह कृत्रिम बुद्धिमत्ता लिखूँगा कल।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖਾਂਗਾ ਕੱਲ੍ਹ।
he will learn artificial intelligence carefully.,वह कृत्रिम बुद्धिमत्ता सीखूँगा ध्यान से।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਾਂਗਾ ਧਿਆਨ ਨਾਲ।
we will read the lesson today.,हम पाठ पढ़ूँगा आज।,ਅਸੀਂ ਪਾਠ ਪੜ੍ਹਾਂਗਾ ਅੱਜ।
i am studying machine learning at home.,मैं मशीन लर्निंग पढ़ाई कर रहा हूँ घर पर।,ਮੈਂ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਘਰ ਵਿੱਚ।
the teacher am learning a book quickly.,शिक्षक एक किताब सीख रहा हूँ जल्दी।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
i learned a book today.,मैं एक किताब सीखा आज।,ਮੈਂ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਿਆ ਅੱਜ।
she read a translation system at home.,वह एक अनुवाद प्रणाली पढ़ा घर पर।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਿਆ ਘਰ ਵਿੱਚ।
the teacher am building a translation system today.,शिक्षक एक अनुवाद प्रणाली बना रहा हूँ आज।,ਅਧਿਆਪक ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਅੱਜ।
we am building the lesson carefully.,हम पाठ बना रहा हूँ ध्यान से।,ਅਸੀਂ ਪਾਠ ਬਣਾ ਰਿਹਾ ਹਾਂ ਧਿਆਨ ਨਾਲ।
we studied a book at university.,हम एक किताब अध्ययन किया विश्वविद्यालय में।,ਅਸੀਂ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕੀਤਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he built a project quickly.,वह एक परियोजना बनाया जल्दी।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਬਣਾਇਆ ਜਲਦੀ।
the teacher will build data science at home.,शिक्षक डेटा साइंस बनाऊँगा घर पर।,ਅਧਿਆਪक ਡਾਟਾ ਸਾਇੰਸ ਬਣਾਂਗਾ ਘਰ ਵਿੱਚ।
the teacher am building a project tomorrow.,शिक्षक एक परियोजना बना रहा हूँ कल।,ਅਧਿਆਪक ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਬਣਾ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
we am studying a translation system today.,हम एक अनुवाद प्रणाली पढ़ाई कर रहा हूँ आज।,ਅਸੀਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਅੱਜ।
the student am building artificial intelligence today.,छात्र कृत्रिम बुद्धिमत्ता बना रहा हूँ आज।,ਵਿਦਿਆਰਥੀ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਅੱਜ।
i will study a translation system at home.,मैं एक अनुवाद प्रणाली अध्ययन करूँगा घर पर।,ਮੈਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਅਧਿਐਨ ਕਰਾਂਗਾ ਘਰ ਵਿੱਚ।
she studied artificial intelligence carefully.,वह कृत्रिम बुद्धिमत्ता अध्ययन किया ध्यान से।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਅਧਿਐਨ ਕੀਤਾ ਧਿਆਨ ਨਾਲ।
i learned a translation system carefully.,मैं एक अनुवाद प्रणाली सीखा ध्यान से।,ਮੈਂ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਸਿੱਖਿਆ ਧਿਆਨ ਨਾਲ।
we will build a book at home.,हम एक किताब बनाऊँगा घर पर।,ਅਸੀਂ ਇੱਕ ਕਿਤਾਬ ਬਣਾਂਗਾ ਘਰ ਵਿੱਚ।
the student wrote a book today.,छात्र एक किताब लिखा आज।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਲਿਖਿਆ ਅੱਜ।
the student will read a project today.,छात्र एक परियोजना पढ़ूँगा आज।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਾਂਗਾ ਅੱਜ।
my friend will learn data science at home.,मेरा दोस्त डेटा साइंस सीखूँगा घर पर।,ਮੇਰਾ ਦੋਸਤ ਡਾਟਾ ਸਾਇੰਸ ਸਿੱਖਾਂਗਾ ਘਰ ਵਿੱਚ।
the student read data science at home.,छात्र डेटा साइंस पढ़ा घर पर।,ਵਿਦਿਆਰਥੀ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਿਆ ਘਰ ਵਿੱਚ।
they am reading a translation system today.,वे एक अनुवाद प्रणाली पढ़ रहा हूँ आज।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਅੱਜ।
i read a project today.,मैं एक परियोजना पढ़ा आज।,ਮੈਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਪੜ੍ਹਿਆ ਅੱਜ।
my friend will learn artificial intelligence today.,मेरा दोस्त कृत्रिम बुद्धिमत्ता सीखूँगा आज।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਾਂਗਾ ਅੱਜ।
my friend learned artificial intelligence quickly.,मेरा दोस्त कृत्रिम बुद्धिमत्ता सीखा जल्दी।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਿਆ ਜਲਦੀ।
they learned the lesson carefully.,वे पाठ सीखा ध्यान से।,ਉਹ ਪਾਠ ਸਿੱਖਿਆ ਧਿਆਨ ਨਾਲ।
we will read data science today.,हम डेटा साइंस पढ़ूँगा आज।,ਅਸੀਂ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਂਗਾ ਅੱਜ।
i will study the lesson tomorrow.,मैं पाठ अध्ययन करूँगा कल।,ਮੈਂ ਪਾਠ ਅਧਿਐਨ ਕਰਾਂਗਾ ਕੱਲ੍ਹ।
they am reading machine learning quickly.,वे मशीन लर्निंग पढ़ रहा हूँ जल्दी।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
my friend am building artificial intelligence today.,मेरा दोस्त कृत्रिम बुद्धिमत्ता बना रहा हूँ आज।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਅੱਜ।
my friend wrote artificial intelligence carefully.,मेरा दोस्त कृत्रिम बुद्धिमत्ता लिखा ध्यान से।,ਮੇਰਾ ਦੋਸਤ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖਿਆ ਧਿਆਨ ਨਾਲ।
the student will learn a project at home.,छात्र एक परियोजना सीखूँगा घर पर।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖਾਂਗਾ ਘਰ ਵਿੱਚ।
she am writing the lesson today.,वह पाठ लिख रहा हूँ आज।,ਉਹ ਪਾਠ ਲਿਖ ਰਿਹਾ ਹਾਂ ਅੱਜ।
the teacher will read a book quickly.,शिक्षक एक किताब पढ़ूँगा जल्दी।,ਅਧਿਆਪक ਇੱਕ ਕਿਤਾਬ ਪੜ੍ਹਾਂਗਾ ਜਲਦੀ।
